id,team,class,time,x_pos,y_pos
1,0,0,5,198,340
4,0,0,5,222,94
5,1,0,5,432,127
6,0,0,5,314,206
7,1,0,5,596,265
8,1,0,5,459,296
2,0,0,5,256,267
9,1,0,5,565,226
10,0,0,5,77,215
11,0,0,5,74,251
15,-1,1,5,348,196
12,1,0,5,482,200
13,1,0,5,633,241
3,1,0,5,429,410
3,1,0,6,429,410
4,0,0,6,222,94
1,0,0,6,198,340
15,-1,1,6,348,196
12,1,0,6,481,200
13,1,0,6,633,241
10,0,0,6,77,215
8,1,0,6,459,297
2,0,0,6,256,267
7,1,0,6,596,265
11,0,0,6,74,251
5,1,0,6,432,128
6,0,0,6,314,206
9,1,0,6,565,226
13,1,0,7,633,242
6,0,0,7,314,206
12,1,0,7,482,200
8,1,0,7,459,297
3,1,0,7,429,410
11,0,0,7,74,251
4,0,0,7,222,94
15,-1,1,7,348,196
10,0,0,7,77,215
5,1,0,7,432,129
7,1,0,7,596,265
1,0,0,7,198,340
9,1,0,7,565,226
2,0,0,7,256,267
2,0,0,8,256,266
12,1,0,8,482,200
10,0,0,8,77,215
5,1,0,8,432,128
11,0,0,8,74,251
13,1,0,8,632,243
6,0,0,8,314,206
7,1,0,8,596,266
1,0,0,8,198,340
9,1,0,8,565,226
8,1,0,8,459,297
15,-1,1,8,348,196
4,0,0,8,221,94
3,1,0,8,429,411
4,0,0,9,222,94
7,1,0,9,596,266
1,0,0,9,198,340
5,1,0,9,432,128
15,-1,1,9,348,196
10,0,0,9,77,215
2,0,0,9,256,267
12,1,0,9,482,199
3,1,0,9,429,411
9,1,0,9,565,226
11,0,0,9,74,251
13,1,0,9,633,242
6,0,0,9,314,206
8,1,0,9,459,297
10,0,0,10,76,214
4,0,0,10,221,93
2,0,0,10,256,267
13,1,0,10,633,241
3,1,0,10,429,411
8,1,0,10,459,297
5,1,0,10,432,127
1,0,0,10,198,340
12,1,0,10,482,198
11,0,0,10,74,251
7,1,0,10,596,266
9,1,0,10,565,226
15,-1,1,10,348,196
6,0,0,10,314,206
1,0,0,11,198,340
15,-1,1,11,348,196
5,1,0,11,432,127
3,1,0,11,429,411
11,0,0,11,74,251
7,1,0,11,596,266
9,1,0,11,565,226
10,0,0,11,77,215
8,1,0,11,459,297
13,1,0,11,633,241
6,0,0,11,314,206
2,0,0,11,256,267
4,0,0,11,222,94
12,1,0,11,482,198
11,0,0,12,74,251
13,1,0,12,633,241
7,1,0,12,596,266
15,-1,1,12,348,196
4,0,0,12,222,94
6,0,0,12,314,206
3,1,0,12,429,411
1,0,0,12,198,340
9,1,0,12,565,226
8,1,0,12,459,297
2,0,0,12,256,267
10,0,0,12,77,215
5,1,0,12,432,128
12,1,0,12,482,198
8,1,0,13,459,297
7,1,0,13,596,266
